time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
339583,91,757,146,144,480,360,438,8,12
341184,91,757,146,143,480,360,438,8,11
342785,91,757,146,143,480,360,438,8,11
344386,91,757,146,143,480,360,438,8,11
345984,92,757,146,143,480,360,438,8,11
347584,92,757,147,144,480,361,438,8,11
349183,91,757,147,144,480,361,438,8,11
350784,91,757,147,144,480,360,438,8,11
352383,91,757,147,144,480,360,438,8,11
353986,91,757,147,144,480,360,438,8,11
355583,91,757,147,144,480,360,438,8,11
357184,91,757,147,144,480,360,438,8,11
358785,91,757,146,143,480,360,438,8,11
360384,91,757,146,143,480,360,438,8,11
361984,91,757,146,143,480,360,438,8,11
363585,91,757,146,143,480,360,438,8,11
365183,91,757,146,144,480,360,438,7,11
366784,91,757,147,144,480,360,438,7,11
368384,91,757,146,145,480,360,438,7,11
369984,91,757,146,145,480,360,438,7,11
371583,91,757,146,144,480,360,438,8,11
373186,91,757,146,144,480,360,438,8,11
374785,91,757,146,144,480,360,438,8,11
376383,91,757,146,143,480,360,438,8,11
377984,91,757,146,143,480,360,438,8,11
379584,91,757,146,143,480,360,438,8,11
381211,91,757,146,144,480,360,438,8,11
382785,91,757,147,144,480,360,438,8,11
384386,91,757,146,144,480,360,438,8,11
385984,91,757,146,144,480,360,438,8,11
387584,91,757,146,144,480,360,438,8,12
389184,91,757,146,144,480,360,438,8,11
390784,92,757,147,144,480,360,438,8,11
392384,91,757,146,143,480,360,438,8,11
393986,91,757,146,143,480,360,438,8,11
395584,91,757,146,143,480,360,438,8,12
397183,91,757,146,143,480,360,438,8,12
398785,91,757,146,144,480,360,438,8,12
400384,91,757,146,144,480,360,438,8,12
401983,91,757,146,144,480,360,438,8,12
403587,91,757,146,144,480,360,438,8,12
405183,91,757,146,144,480,360,438,8,11
406784,92,757,146,144,480,360,438,8,11
408384,92,757,146,143,480,360,438,7,11
409984,92,757,146,143,480,360,438,8,11
411584,92,757,146,143,480,360,438,8,11
413186,92,757,146,144,480,360,438,8,11
414785,92,757,146,144,480,360,438,8,11
416384,91,757,146,144,480,360,438,8,11
417985,91,757,146,144,480,360,438,7,12
419584,91,757,146,144,480,360,438,8,12
421183,91,757,146,144,480,360,438,8,11
422785,92,757,146,144,480,360,438,8,11
424386,92,757,146,143,480,360,438,8,11
425984,91,757,146,143,480,360,438,8,11
427584,91,757,146,143,480,360,438,8,12
429183,91,757,146,143,480,360,438,8,12
430784,91,757,146,144,480,360,438,8,12
432384,91,757,146,144,480,360,438,8,12
433986,91,757,146,144,480,360,438,8,12
435584,91,757,146,144,480,360,438,8,12
437183,91,757,146,144,480,361,438,8,11
438785,91,757,146,144,480,360,438,8,11
440384,91,757,146,144,480,360,438,8,11
441984,91,757,146,143,480,360,438,8,11
443585,91,757,146,143,480,360,438,8,11
445184,91,757,146,143,480,360,438,8,11
446785,91,757,146,144,480,360,438,8,12
448384,91,757,146,144,480,360,437,8,12
449984,91,757,146,144,480,360,438,8,12
451583,91,757,146,144,480,360,438,8,12
453186,91,757,146,144,480,360,438,8,12
454785,91,757,146,144,480,360,438,8,12
456383,92,757,146,144,480,360,438,8,12
457984,92,757,146,143,480,360,438,8,12
459584,92,757,146,143,480,360,438,8,12
461184,92,757,146,143,480,360,438,8,12
462785,92,757,146,143,480,360,438,8,11
464386,91,757,146,144,480,360,438,8,11
465984,91,757,146,144,480,360,438,8,11
467583,91,757,146,144,480,360,438,8,11
469183,91,757,146,144,480,360,438,8,12
470785,91,757,146,144,480,360,438,8,12
472384,91,757,146,144,480,360,438,8,12
473985,91,757,146,143,480,360,438,8,12
475584,91,757,146,143,480,360,438,8,12
477184,91,757,146,143,480,361,439,8,12
478785,91,757,146,143,480,360,438,8,11
480384,91,757,146,143,480,360,438,8,11
482012,91,757,146,144,480,360,438,8,11
483588,91,757,146,144,480,360,438,8,11
485184,91,757,146,144,480,360,438,8,11
486784,91,757,146,144,480,360,438,8,11
488383,91,757,146,144,480,360,438,8,11
489984,91,757,146,143,480,360,438,8,11
491583,91,757,146,143,480,360,438,8,12
493185,91,757,146,143,480,361,439,8,12
494785,91,757,146,143,480,360,438,8,12
496383,91,757,146,143,480,360,438,8,12
497984,91,757,146,143,480,360,438,8,11
499583,91,757,146,144,480,360,438,8,11
501183,91,757,146,144,480,361,438,8,11
502784,91,757,146,144,480,360,438,8,11
504386,91,757,146,144,480,360,438,8,11
505984,91,757,146,143,480,360,438,8,11
507583,91,757,146,143,480,360,438,8,11
509184,92,757,146,143,480,361,439,8,11
510785,92,757,146,143,480,361,439,8,11
512383,91,757,146,143,480,360,439,8,12
513986,91,757,146,143,480,360,439,8,11
515584,91,757,146,144,480,360,439,8,11
517183,91,757,146,144,480,360,438,8,11
518784,92,757,147,144,480,360,438,8,11
520384,91,757,146,144,480,360,438,8,11
521984,91,757,146,144,480,360,438,8,11
523585,91,757,146,143,480,360,438,8,11
525184,91,757,146,143,480,360,438,8,11
526785,91,757,147,143,480,361,438,8,11
528383,91,757,146,143,480,361,438,8,12
529984,91,757,146,143,480,360,438,8,11
531583,91,757,146,144,480,360,438,8,11
533186,91,757,146,144,480,360,438,8,11
534785,91,757,146,144,480,360,438,8,11
536383,91,757,146,144,480,360,438,8,11
537984,91,757,146,144,480,360,438,8,11
539583,91,757,146,144,480,360,438,8,11
541183,91,757,146,143,480,360,438,8,11
542797,91,757,146,143,480,360,438,8,11
544386,91,757,146,143,480,360,438,8,12
545983,91,757,146,143,480,361,438,8,11
547584,91,757,146,144,480,360,438,8,11
549184,91,757,146,144,480,360,438,8,11
550797,92,757,147,144,480,360,438,8,11
552384,92,757,146,144,480,360,438,8,12
553985,91,757,146,144,480,360,438,8,11
555584,91,757,146,144,480,360,438,8,11
557184,91,757,146,144,480,360,438,8,11
558797,91,757,147,143,480,360,438,8,11
560384,92,757,147,143,480,360,438,8,12
561983,92,757,146,143,480,360,438,8,11
563586,92,757,146,144,480,361,438,8,11
565183,92,757,146,144,480,360,438,8,11
566797,92,757,146,145,480,360,438,8,11
568384,92,757,146,145,480,360,438,8,11
569983,91,757,146,145,480,360,438,8,11
571584,91,757,146,144,480,360,438,8,11
573186,91,757,146,144,480,360,438,8,11
574797,91,757,146,143,480,360,438,8,11
576384,91,757,146,143,480,360,438,8,11
577984,91,757,146,143,480,360,438,8,11
579584,91,757,147,143,480,360,438,8,11
