time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
1941184,91,757,146,143,480,360,437,8,11
1949183,92,757,146,144,480,360,436,8,11
1957184,92,757,146,144,480,360,437,8,11
1965184,91,757,146,144,480,360,436,8,11
1973186,91,757,146,144,480,360,437,8,11
1981183,91,757,146,144,480,360,436,8,11
1989184,92,757,146,144,480,360,437,8,11
1997184,91,757,146,144,480,360,436,8,11
2005184,92,757,146,144,480,360,437,8,11
2013186,92,757,147,144,480,360,436,7,12
2021184,92,757,146,144,480,360,437,8,11
2029184,92,757,147,143,480,361,437,7,12
2037183,92,757,147,144,480,360,437,8,11
2045184,92,757,147,143,480,361,437,7,12
2053186,91,757,146,144,480,360,437,7,11
2061184,92,756,146,143,480,360,436,8,12
2069184,91,757,146,144,480,360,436,8,11
2077184,92,757,147,143,480,360,437,8,12
2085184,91,757,147,144,480,360,437,8,12
2093186,92,757,147,143,480,360,437,8,12
2101184,91,756,146,144,480,360,437,8,12
2109184,92,757,146,143,480,360,437,8,12
2117184,92,757,146,144,480,360,437,8,12
2125184,92,757,146,143,480,361,437,8,12
2133186,92,757,146,144,480,360,437,8,12
2141184,91,756,146,143,480,360,437,8,12
2149184,92,757,146,144,480,360,437,8,12
2157184,92,757,146,144,480,360,437,8,12
2165184,91,757,146,145,480,360,437,8,12
2173186,92,757,147,144,480,360,437,8,12
2181184,91,756,146,144,480,360,437,8,12
2189184,92,757,147,144,480,359,437,8,12
2197183,92,757,146,144,480,359,437,8,12
2205184,92,757,146,144,480,359,437,8,11
2213186,92,757,146,144,480,359,437,8,11
2221184,91,757,146,144,480,359,437,8,12
2229184,91,757,146,143,480,359,437,8,11
2237184,91,757,146,144,480,359,438,8,12
2245184,91,757,146,143,480,359,437,7,11
2253186,91,757,146,144,480,359,437,8,12
2261184,91,757,146,143,480,359,437,8,12
2269183,91,757,146,144,480,359,437,8,12
2277184,91,757,146,143,480,359,437,8,12
2285184,91,757,146,144,480,359,437,8,12
2293187,91,757,146,143,480,359,437,8,12
2301184,91,757,146,144,481,359,437,8,11
2309184,91,757,146,143,481,359,437,8,12
2317184,91,757,146,144,481,359,437,8,11
2325184,91,757,146,143,481,359,437,8,11
2333186,92,757,146,144,481,359,438,8,12
2341183,91,757,146,143,481,359,437,8,11
2349184,92,757,146,144,481,359,437,8,11
2357184,92,756,146,143,481,359,438,8,11
2365184,92,757,146,144,481,359,437,8,12
2373186,92,756,146,143,481,359,437,8,11
2381184,92,757,146,143,482,359,438,8,11
2389184,91,757,146,143,482,359,438,8,11
2397184,92,757,146,143,482,359,438,8,11
2405184,91,757,146,144,482,359,438,8,11
2413186,91,756,146,143,482,359,437,8,11
2421184,91,757,146,144,482,359,438,7,11
2429184,91,756,146,143,482,359,438,8,11
2437184,92,757,147,144,482,359,438,8,11
2445184,91,757,146,143,482,359,437,7,11
2453186,91,757,146,144,482,359,438,8,11
2461184,92,757,146,143,482,359,438,8,11
2469184,91,757,146,144,482,359,437,8,11
2477184,91,757,146,142,482,359,438,8,11
2485184,91,757,146,144,481,360,438,8,11
2493214,91,757,146,142,481,360,438,8,11
2501184,92,757,146,143,481,359,438,8,11
2509184,91,757,146,142,481,359,438,8,11
2517216,92,757,146,144,481,359,438,8,11
2525217,91,757,146,142,481,360,438,8,11
2533218,91,757,146,143,480,360,438,8,11
2541217,92,757,146,142,480,359,438,8,12
2549216,91,757,146,143,480,360,438,8,11
2557217,91,757,146,142,480,360,438,8,11
2565217,92,757,147,143,480,360,438,8,11
2573191,92,757,146,143,480,360,438,8,11
2581189,92,757,146,143,480,360,438,8,11
2589188,92,757,146,143,480,360,438,8,11
2597188,91,757,146,143,480,360,438,8,11
2605188,92,757,146,143,480,360,438,8,11
2613191,91,757,146,143,480,360,438,8,11
2621188,92,757,146,144,480,360,438,8,11
2629189,92,757,146,143,480,359,438,8,12
2637188,92,757,146,144,480,360,438,8,11
2645188,91,757,146,143,480,359,437,8,11
2653191,92,757,146,144,480,360,438,8,11
2661188,92,757,146,143,480,359,437,8,11
2669188,92,757,146,145,480,359,438,8,12
2677188,92,757,146,143,480,360,438,8,11
2685189,91,757,146,145,480,360,438,8,11
2693191,92,757,146,143,480,359,438,8,11
2701189,91,757,147,145,480,360,438,8,11
2709189,92,757,146,144,480,360,438,7,11
2717189,91,757,146,144,479,359,437,7,11
2725189,92,757,146,144,480,360,438,7,11
2733186,92,757,146,145,480,359,438,7,12
2741184,92,757,146,144,480,360,438,7,11
2749184,92,757,146,145,480,360,438,7,12
2757184,91,757,146,144,479,360,438,8,11
2765184,92,757,146,145,480,360,437,8,12
2773186,91,757,146,144,480,359,437,8,11
2781184,91,757,146,145,479,360,438,8,11
2789184,91,757,145,144,480,360,438,8,12
2797184,92,757,146,144,479,359,438,8,12
2805184,91,757,145,145,479,359,438,8,11
2813186,92,757,145,144,480,360,438,8,11
2821184,92,757,145,145,480,360,438,8,12
2829184,91,757,145,143,480,360,438,8,12
2837183,92,757,145,144,480,360,438,8,12
2845184,91,757,145,143,481,359,437,8,12
2853186,92,757,145,145,480,360,438,8,11
2861184,91,757,145,143,480,360,438,8,12
2869184,92,757,146,144,480,360,437,8,12
2877183,92,757,146,143,480,360,438,8,12
2885184,92,757,146,144,480,360,438,8,11
2893186,92,757,146,143,480,360,438,8,11
2901184,91,757,145,144,480,360,438,8,11
2909184,92,757,146,143,480,360,437,8,12
2917184,91,757,145,144,479,359,438,8,11
2925184,91,757,145,142,480,360,438,8,11
2933186,91,757,145,143,480,360,438,8,11
2941184,91,757,145,142,480,360,438,8,11
2949184,91,757,146,143,480,360,438,8,11
2957184,91,757,146,142,480,360,438,8,11
2965184,91,757,146,143,480,360,438,8,11
2973186,91,757,146,143,480,360,438,8,11
2981183,91,757,146,143,480,360,438,8,11
2989184,91,757,146,143,480,360,437,8,11
2997210,91,757,146,143,480,360,438,8,11
3005184,91,757,146,143,480,360,437,8,11
3013186,92,757,146,143,480,360,438,8,11
3021183,91,757,146,143,480,360,438,8,11
3029184,92,757,146,142,480,360,438,8,12
3037184,92,757,146,143,480,360,438,8,11
3045184,91,756,146,142,480,360,438,8,11
3053186,92,757,146,143,480,360,438,8,12
